cluster_id,cluster_name,size,avg_text_length
-1,Noise,141457,187.09671490276196
0,Cluster 0,55,392.90909090909093
1,Cluster 1,128,308.9765625
2,Cluster 2,52,416.03846153846155
3,Cluster 3,107,395.3551401869159
4,Cluster 4,194,330.6958762886598
5,Cluster 5,156,300.21153846153845
6,Cluster 6,55,307.58181818181816
7,Cluster 7,67,303.2089552238806
8,Cluster 8,123,60.0
9,Cluster 9,194,60.0
10,Cluster 10,55,227.9090909090909
11,Cluster 11,55,224.8181818181818
12,Cluster 12,51,15.392156862745098
13,Cluster 13,168,16.553571428571427
14,Cluster 14,93,14.838709677419354
15,Cluster 15,456,77.91228070175438
16,Cluster 16,80,29.175
17,Cluster 17,73,38.0
18,Cluster 18,123,95.15447154471545
19,Cluster 19,101,51.039603960396036
20,Cluster 20,50,124.2
21,Cluster 21,99,728.7373737373738
22,Cluster 22,177,54.836158192090394
23,Cluster 23,53,21.39622641509434
24,Cluster 24,88,32.70454545454545
25,Cluster 25,119,25.462184873949578
26,Cluster 26,57,27.57894736842105
27,Cluster 27,82,30.658536585365855
28,Cluster 28,162,17.01851851851852
29,Cluster 29,96,13.416666666666666
30,Cluster 30,70,10.014285714285714
31,Cluster 31,91,14.098901098901099
32,Cluster 32,95,24.53684210526316
33,Cluster 33,180,10.166666666666666
34,Cluster 34,81,21.271604938271604
35,Cluster 35,61,10.819672131147541
36,Cluster 36,55,13.018181818181818
37,Cluster 37,71,13.71830985915493
38,Cluster 38,159,11.566037735849056
39,Cluster 39,82,20.195121951219512
40,Cluster 40,85,17.8
41,Cluster 41,206,46.73300970873787
42,Cluster 42,86,35.77906976744186
43,Cluster 43,74,44.513513513513516
44,Cluster 44,158,30.031645569620252
45,Cluster 45,266,26.958646616541355
46,Cluster 46,872,74.09862385321101
47,Cluster 47,245,26.76326530612245
