x,y,cluster
10.68028,9.6918545,-1
8.6158285,7.5603366,-1
8.608148,7.533236,-1
5.3029137,8.529403,-1
10.017178,9.948353,-1
11.178324,9.044415,-1
5.6101384,8.202375,-1
5.7713356,7.2134767,-1
5.9473915,6.6105485,-1
11.595007,11.868353,-1
-1.2176186,21.069872,-1
7.3756523,4.7112474,-1
7.418447,6.3416643,-1
4.7101393,6.843553,-1
7.145141,5.708147,-1
7.55032,4.786818,-1
7.4565988,4.816215,-1
12.421802,7.1802034,12
12.480023,7.5149264,-1
4.8793817,7.062747,-1
5.9991565,6.519643,-1
7.8885303,6.6530304,-1
6.7212133,6.7732954,-1
7.479063,4.865419,-1
9.338811,3.0428092,-1
7.8868484,8.295264,-1
7.7134705,7.644542,-1
6.726095,7.3106766,-1
10.682034,6.416936,-1
6.5230317,7.361868,-1
7.3794794,4.71677,-1
7.357888,4.69388,-1
9.392332,8.9289665,18
7.0838766,4.600272,-1
8.072803,7.376045,-1
9.987765,8.384231,-1
10.836784,6.5254383,-1
7.344329,4.63943,-1
7.408336,4.610506,-1
7.375791,4.6498733,-1
10.501928,6.432551,-1
7.4551682,4.744412,-1
9.185183,8.461003,-1
7.458507,4.921455,-1
6.665876,6.9448805,-1
7.420837,4.87366,-1
6.697169,7.008973,-1
7.2258563,6.209279,-1
6.9888797,4.4837933,-1
6.9730897,4.4531503,-1
7.4928384,4.9606924,-1
6.927073,6.5523615,-1
9.5478115,3.0614824,-1
8.549444,10.656801,-1
9.343109,11.08753,-1
12.379661,7.4481187,-1
7.0416675,4.5957227,-1
7.4016294,4.6641006,-1
7.1678586,4.4699903,-1
7.4476314,4.8718805,-1
7.471772,4.8144436,-1
10.464928,6.4045954,-1
7.488655,4.851308,-1
7.363853,4.6802335,-1
7.40721,4.7074423,-1
10.344476,8.577357,25
9.094607,3.2920525,-1
7.433226,4.8075323,-1
7.3939714,4.7787085,-1
11.15315,7.7689953,-1
9.391888,3.0131133,-1
6.844122,6.650444,-1
7.437627,5.0055118,-1
7.3631973,4.678119,-1
8.147357,7.1516957,-1
8.907941,7.278155,-1
9.407905,2.9494872,-1
5.8751535,8.094801,-1
7.3344336,6.454148,-1
6.11307,6.30752,-1
6.1642265,8.295802,-1
7.3611193,5.009676,-1
15.700345,10.455063,-1
12.515605,9.64295,-1
9.718062,8.349252,-1
9.376759,2.994809,-1
7.443714,4.7103977,-1
7.506439,4.827834,-1
7.494538,4.8168087,-1
7.4642324,4.867117,-1
7.4219794,4.8688955,-1
9.367114,10.141088,-1
7.001117,6.4179235,-1
7.2931495,5.3884053,-1
7.311036,4.61535,-1
7.320027,5.2284946,-1
7.4167037,5.003336,-1
7.379464,4.829655,-1
6.7084556,5.4494696,-1
6.816126,6.1953,-1
7.4180155,4.7819123,-1
6.402313,7.200085,-1
7.4157186,4.6891856,-1
11.910807,9.984928,44
7.112327,4.486417,-1
6.0028753,7.049985,-1
6.242593,6.6568894,-1
7.4480205,4.846117,-1
7.4741616,4.888078,-1
6.93961,6.2157054,-1
11.668368,11.745412,-1
6.889629,6.6835194,-1
7.466467,4.812439,-1
7.346546,4.639768,-1
7.549929,4.811499,-1
12.107219,10.23409,-1
9.384525,3.0101316,-1
7.462839,4.831774,-1
7.01233,11.004449,-1
7.524415,4.7496448,-1
7.4226184,4.843971,-1
7.449773,4.864897,-1
7.495843,4.8182836,-1
7.387167,4.8595357,-1
6.8896737,6.244278,-1
7.519591,4.818175,-1
7.151469,9.451667,-1
13.487408,12.124421,-1
7.454579,4.882632,-1
7.460858,4.849163,-1
11.324176,7.710567,-1
7.113056,4.5747824,-1
7.487665,4.7697763,-1
8.784231,11.157795,-1
7.1905174,10.191982,-1
9.460589,3.3219144,-1
7.445658,4.878105,-1
5.638676,7.6823883,-1
14.125402,10.583437,-1
8.046343,6.75042,-1
11.938296,8.695142,-1
7.1525717,4.6049147,-1
9.432573,2.9912603,-1
7.4461064,4.7487707,-1
9.464436,2.943907,15
7.480797,4.8052316,-1
6.9306555,4.4664044,-1
7.4389544,4.874578,-1
7.482377,4.8186264,-1
7.453672,4.820482,-1
7.50678,4.8056254,-1
7.0756764,6.401899,-1
7.4770374,4.826985,-1
6.9409356,6.2299967,-1
7.478298,4.786977,-1
6.795194,6.104835,-1
7.4643116,4.8187294,-1
7.499356,4.838795,-1
9.431243,2.9494205,15
6.766951,6.679323,-1
6.9743257,6.0670924,-1
10.72701,8.874725,-1
7.4483,4.826019,-1
7.3194294,4.6949735,-1
5.576082,2.692794,-1
9.251101,3.1477854,-1
5.723158,2.9401033,-1
7.0718904,6.2826223,-1
7.5026565,4.9184227,-1
7.4434967,4.6849985,-1
13.899558,10.535165,-1
14.208789,10.527733,-1
14.197471,10.585739,-1
7.120688,4.5613728,-1
7.383948,4.7436285,-1
7.483907,4.8525414,-1
7.448307,4.8508735,-1
9.271116,3.140594,-1
5.560237,8.138714,-1
7.4771185,4.8411927,-1
7.469401,4.8732767,-1
7.451158,4.8512454,-1
9.514163,2.8697383,15
7.4698343,4.8127236,-1
7.0207844,6.182053,-1
6.9392433,6.5412407,-1
3.6400287,5.3295727,-1
7.474328,4.8294754,-1
7.406012,4.870365,-1
12.923295,10.499819,-1
6.97335,4.4665484,-1
7.4365273,4.812611,-1
7.4609914,4.861488,-1
7.4258175,4.9066224,-1
9.932216,3.231908,-1
12.634339,8.037738,-1
7.4232116,4.70425,-1
7.468059,4.8991804,-1
7.453281,4.899236,-1
3.533984,6.224495,-1
3.5052469,6.195175,-1
10.498557,8.4235,-1
4.7163563,6.9723725,-1
8.059297,6.507079,-1
3.3595626,6.3490057,1
5.3377357,8.531189,-1
11.43889,11.159293,-1
8.950154,5.9596977,-1
11.69538,8.159788,-1
5.544917,7.0321193,-1
11.992088,8.625017,-1
12.801676,6.6018615,-1
12.829019,11.039064,-1
11.55677,8.455299,-1
12.338415,9.182239,-1
3.9482763,10.849522,-1
5.572822,6.9091763,-1
3.2967913,6.4890733,-1
3.5225692,6.2357717,-1
11.609525,14.36587,-1
3.4849718,6.194817,-1
3.5693793,6.311246,-1
3.5191493,6.2207975,-1
8.511205,7.192169,-1
9.347704,3.0398617,-1
7.689177,8.397643,-1
9.897727,10.547533,-1
9.855747,12.129403,-1
3.5411956,6.2336955,-1
3.5275812,6.2153206,-1
3.5264175,6.2185,-1
7.866246,6.8462834,-1
3.1286914,6.584524,1
9.443879,13.492594,-1
9.407879,3.1750393,-1
7.2856483,7.2831225,-1
10.451955,6.781648,-1
10.7503605,6.659348,-1
3.5495415,6.2180634,-1
10.299772,10.530209,-1
10.2808275,10.375608,-1
10.412323,6.50047,-1
9.430695,10.412139,-1
3.5125515,6.2006445,-1
3.5370398,6.2211766,-1
7.696747,8.408028,-1
3.6586719,6.3140597,-1
3.5742757,6.241476,-1
7.4825215,7.8587737,-1
3.566457,6.21902,-1
5.9463577,6.4278216,-1
5.9448195,6.3746595,-1
8.1263485,6.4792705,-1
11.641867,8.670487,-1
7.2959194,6.9527507,-1
3.7712219,6.3117566,-1
12.903273,11.053257,-1
7.037453,7.0035696,-1
9.677787,9.778602,-1
3.5254493,6.1371846,-1
3.5104995,6.2102222,-1
3.5072806,6.2160273,-1
3.5027921,6.2153697,-1
3.4680936,6.253226,-1
3.4985797,6.203139,-1
3.520726,6.2117953,-1
3.5629833,6.2869487,-1
8.020023,11.357638,-1
7.166921,7.417509,-1
3.5281208,6.219228,-1
3.5347826,6.2233133,-1
